简介,公告日,分红,送股,转增股,登记日,除权日,备注
建设银行,2015-08-31,--,--,--,--,--,董事会通过
建设银行,2015-03-28,3.01,--,--,2015-06-30,2015-07-01,实施
建设银行,2014-08-30,--,--,--,--,--,董事会通过
建设银行,2014-03-31,3.00,--,--,2014-07-09,2014-07-10,实施
建设银行,2013-08-26,--,--,--,--,--,董事会通过
建设银行,2013-03-25,2.68,--,--,2013-06-20,2013-06-21,实施
建设银行,2012-08-27,--,--,--,--,--,董事会通过
建设银行,2012-03-26,2.37,--,--,2012-06-21,2012-06-25,实施
建设银行,2011-08-22,--,--,--,--,--,董事会通过
建设银行,2011-03-28,2.12,--,--,2011-06-23,2011-06-24,实施
建设银行,2010-08-23,--,--,--,--,--,董事会通过
建设银行,2010-03-29,2.02,--,--,2010-07-07,2010-07-08,实施
建设银行,2009-08-22,--,--,--,--,--,董事会通过
建设银行,2009-03-28,0.84,--,--,2009-06-23,2009-06-24,实施
建设银行,2008-10-25,1.11,--,--,2008-11-14,2008-11-17,实施
建设银行,2008-04-12,0.65,--,--,2008-06-23,2008-06-24,实施
