简介,公告日,分红,送股,转增股,登记日,除权日,备注
招商银行,2015-08-26,--,--,--,--,--,董事会通过
招商银行,2015-03-19,6.70,--,--,2015-07-02,2015-07-03,实施
招商银行,2014-08-30,--,--,--,--,--,董事会通过
招商银行,2014-03-29,6.20,--,--,2014-07-10,2014-07-11,实施
招商银行,2013-08-17,--,--,--,--,--,董事会通过
招商银行,2013-03-29,6.30,--,--,2013-06-07,2013-06-13,实施
招商银行,2012-08-18,--,--,--,--,--,董事会通过
招商银行,2012-03-29,4.20,--,--,2012-06-06,2012-06-07,实施
招商银行,2011-08-31,--,--,--,--,--,董事会通过
招商银行,2011-04-01,2.90,--,--,2011-06-09,2011-06-10,实施
招商银行,2010-08-19,--,--,--,--,--,董事会通过
招商银行,2010-04-14,2.10,--,--,2010-06-30,2010-07-01,实施
招商银行,2009-08-29,--,--,--,--,--,董事会通过
招商银行,2009-04-25,1.00,3.00,--,2009-07-02,2009-07-03,实施
招商银行,2008-08-19,--,--,--,--,--,董事会通过
招商银行,2008-03-19,2.80,--,--,2008-07-25,2008-07-28,实施
招商银行,2007-08-10,--,--,--,--,--,董事会通过
招商银行,2007-04-17,1.20,--,--,2007-07-03,2007-07-04,实施
招商银行,2006-08-09,--,--,--,--,--,董事会通过
招商银行,2006-07-20,1.80,--,--,2006-09-20,2006-09-21,实施
