Date,Open,High,Low,Close,Volume,Adj Close
2015-12-30,5.13,5.26,5.09,5.18,42024500,5.18
2015-12-29,5.02,5.15,5.02,5.12,22592400,5.12
2015-12-28,5.15,5.26,5.05,5.05,52588000,5.05
2015-12-24,5.15,5.15,5.05,5.10,25784300,5.10
2015-12-23,5.22,5.24,5.06,5.12,48566600,5.12
2015-12-22,5.25,5.25,5.13,5.19,47355900,5.19
2015-12-21,5.20,5.49,5.12,5.27,108241500,5.27
2015-12-18,5.06,5.20,4.99,5.15,55788700,5.15
2015-12-17,4.96,5.09,4.96,5.06,47231000,5.06
2015-12-16,4.87,5.06,4.86,4.96,56453200,4.96
2015-12-15,4.87,4.90,4.82,4.85,18341800,4.85
2015-12-14,4.74,4.89,4.72,4.87,19344400,4.87
2015-12-11,4.82,4.82,4.75,4.76,18227900,4.76
2015-12-10,4.84,4.89,4.81,4.82,15396300,4.82
2015-12-09,4.87,4.91,4.82,4.84,19411000,4.84
2015-12-08,5.00,5.00,4.89,4.90,29138600,4.90
2015-12-07,5.08,5.09,4.98,5.02,38927700,5.02
2015-12-04,4.99,5.23,4.94,5.10,61467000,5.10
2015-12-03,4.97,5.02,4.95,5.01,24293300,5.01
2015-12-02,4.95,5.01,4.79,5.00,29145700,5.00
2015-12-01,4.90,5.04,4.85,4.97,37985600,4.97
2015-11-30,4.85,4.94,4.68,4.88,34233500,4.88
2015-11-27,5.17,5.21,4.82,4.86,51704800,4.86
2015-11-26,5.20,5.27,5.18,5.22,43482700,5.22
2015-11-25,5.16,5.19,5.11,5.19,29238700,5.19
2015-11-24,5.16,5.19,5.10,5.17,27482900,5.17
2015-11-23,5.24,5.27,5.16,5.19,37748800,5.19
2015-11-20,5.27,5.27,5.20,5.25,38348900,5.25
2015-11-19,5.20,5.28,5.15,5.27,32308900,5.27
2015-11-18,5.22,5.24,5.14,5.15,34361100,5.15
2015-11-17,5.26,5.30,5.20,5.23,51750800,5.23
2015-11-16,5.14,5.26,5.12,5.25,41149900,5.25
2015-11-13,5.17,5.34,5.15,5.23,58978800,5.23
2015-11-12,5.28,5.30,5.17,5.23,48365000,5.23
2015-11-11,5.27,5.31,5.22,5.28,44264600,5.28
2015-11-10,5.33,5.34,5.21,5.27,63676500,5.27
2015-11-09,5.30,5.40,5.26,5.35,84277800,5.35
2015-11-06,5.26,5.37,5.24,5.34,97841400,5.34
2015-11-05,5.29,5.51,5.22,5.34,182094300,5.34
2015-11-04,4.94,5.34,4.94,5.30,121476800,5.30
2015-11-03,5.06,5.08,4.88,4.93,53426300,4.93
2015-11-02,4.84,5.17,4.81,5.05,111192600,5.05
2015-10-30,4.93,4.93,4.83,4.87,32033300,4.87
2015-10-29,4.95,4.99,4.88,4.93,38065700,4.93
2015-10-28,4.98,5.10,4.94,4.96,76947200,4.96
2015-10-27,4.87,5.10,4.65,4.98,66274700,4.98
2015-10-26,4.96,4.98,4.85,4.89,43706600,4.89
2015-10-23,4.86,4.91,4.79,4.89,40208300,4.89
2015-10-22,4.71,4.84,4.65,4.82,39881900,4.82
2015-10-21,5.01,5.07,4.64,4.71,75093700,4.71
2015-10-20,4.95,5.02,4.88,5.00,48813600,5.00
2015-10-19,4.99,5.12,4.92,4.97,69015000,4.97
2015-10-16,4.93,5.00,4.83,4.99,75927600,4.99
2015-10-15,4.76,4.93,4.70,4.91,58041800,4.91
2015-10-14,4.98,4.99,4.78,4.79,47778100,4.79
2015-10-13,4.90,5.00,4.82,4.89,64195700,4.89
2015-10-12,4.65,4.87,4.65,4.82,58717000,4.82
2015-10-09,4.60,4.68,4.58,4.65,32170800,4.65
2015-10-08,4.58,4.68,4.55,4.62,36941600,4.62
2015-10-07,4.46,4.46,4.46,4.46,000,4.46
2015-10-06,4.46,4.46,4.46,4.46,000,4.46
2015-10-05,4.46,4.46,4.46,4.46,000,4.46
2015-10-02,4.46,4.46,4.46,4.46,000,4.46
2015-10-01,4.46,4.46,4.46,4.46,000,4.46
2015-09-30,4.43,4.59,4.41,4.46,17969000,4.46
2015-09-29,4.41,4.46,4.36,4.39,17285500,4.39
2015-09-28,4.46,4.46,4.46,4.46,000,4.46
2015-09-25,4.57,4.58,4.41,4.46,22916000,4.46
2015-09-24,4.53,4.62,4.53,4.60,22459000,4.60
2015-09-23,4.60,4.65,4.51,4.53,30378900,4.53
2015-09-22,4.68,4.80,4.62,4.70,43864600,4.70
2015-09-21,4.50,4.75,4.46,4.69,37765200,4.69
2015-09-18,4.53,4.65,4.45,4.55,28281500,4.55
2015-09-17,4.60,4.79,4.48,4.49,57012800,4.49
2015-09-16,4.38,4.73,4.32,4.66,46376800,4.66
2015-09-15,4.38,4.60,4.24,4.31,45902100,4.31
2015-09-14,5.03,5.09,4.48,4.53,61470500,4.53
2015-09-11,4.91,5.05,4.87,4.98,46628200,4.98
2015-09-10,5.10,5.21,4.92,4.98,112014300,4.98
2015-09-09,4.76,5.24,4.71,5.24,121459800,5.24
2015-09-08,4.53,4.85,4.45,4.76,35082600,4.76
2015-09-07,4.51,4.66,4.47,4.51,34222300,4.51
2015-09-04,4.44,4.44,4.44,4.44,000,4.44
2015-09-03,4.44,4.44,4.44,4.44,000,4.44
2015-09-02,4.29,4.55,4.08,4.44,45712000,4.44
2015-09-01,4.71,4.72,4.33,4.43,46523300,4.43
2015-08-31,4.96,4.97,4.65,4.70,52333900,4.70
2015-08-28,4.63,4.99,4.60,4.97,62944600,4.97
2015-08-27,4.45,4.60,4.34,4.58,44249400,4.58
2015-08-26,4.50,4.64,4.21,4.35,64974800,4.35
2015-08-25,4.45,4.68,4.43,4.43,54213700,4.43
2015-08-24,5.08,5.35,4.92,4.92,61469600,4.92
2015-08-21,5.70,5.79,5.36,5.47,56603300,5.47
2015-08-20,5.96,6.11,5.80,5.81,57704900,5.81
2015-08-19,5.60,6.15,5.50,6.10,83529300,6.10
2015-08-18,6.42,6.43,5.84,5.84,132076500,5.84
2015-08-17,6.08,6.54,6.04,6.49,149131000,6.49
2015-08-14,6.08,6.22,6.06,6.11,82406200,6.11
2015-08-13,5.94,6.08,5.86,6.07,58321200,6.07
2015-08-12,6.09,6.19,5.96,5.97,67900200,5.97
2015-08-11,6.24,6.24,6.10,6.17,93596600,6.17
2015-08-10,6.05,6.30,6.00,6.27,119598400,6.27
2015-08-07,5.98,6.10,5.98,6.04,83906000,6.04
2015-08-06,5.79,6.12,5.70,6.00,70762100,6.00
2015-08-05,5.96,6.12,5.81,5.91,93721500,5.91
2015-08-04,5.57,5.88,5.57,5.87,58445900,5.87
2015-08-03,5.47,5.63,5.24,5.61,57263900,5.61
2015-07-31,5.48,5.62,5.47,5.52,43135900,5.52
2015-07-30,5.70,5.87,5.51,5.59,62285300,5.59
2015-07-29,5.55,5.79,5.37,5.77,61909100,5.77
2015-07-28,5.47,5.66,5.05,5.44,99040300,5.44
2015-06-24,7.72,7.96,7.58,7.91,160165800,7.8335
2015-06-23,7.82,7.95,7.05,7.69,151537000,7.61563
2015-06-22,7.83,7.83,7.83,7.83,000,7.75427
2015-06-19,8.41,8.59,7.83,7.83,159960000,7.75427
2015-06-18,8.75,9.11,8.58,8.70,230957100,8.61586
2015-06-17,8.94,9.09,8.12,8.74,224906600,8.65547
2015-06-16,8.68,9.15,8.50,8.90,289335400,8.81393
2015-06-15,8.43,8.97,8.42,8.73,316301500,8.64557
2015-06-12,8.17,8.48,8.08,8.42,274275300,8.33857
2015-06-11,8.14,8.25,8.03,8.14,162911300,8.06128
2015-06-10,7.90,8.29,7.83,8.17,205258100,8.09099
2015-06-09,8.20,8.20,7.85,8.00,229983800,7.92263
2015-06-08,7.87,8.35,7.78,8.22,350894500,8.1405
2015-06-05,7.67,7.87,7.56,7.79,221518000,7.71466
2015-06-04,7.63,7.65,7.11,7.62,147963600,7.54631
2015-06-03,7.85,7.88,7.52,7.69,161709700,7.61563
2015-06-02,7.67,7.85,7.57,7.84,172188100,7.76418
2015-06-01,7.32,7.68,7.30,7.67,133691400,7.59582
2015-05-29,7.56,7.70,7.00,7.34,176159300,7.26901
2015-05-28,8.05,8.24,7.57,7.60,318477500,7.5265
2015-05-27,7.75,8.19,7.60,8.05,334779700,7.97215
2015-05-26,7.73,7.78,7.45,7.75,260914100,7.67505
2015-05-25,7.56,7.79,7.56,7.71,259981100,7.63544
2015-05-22,7.22,7.50,7.13,7.50,235311300,7.42747
2015-05-21,7.03,7.14,6.96,7.12,109480100,7.05114
2015-05-20,7.14,7.30,7.05,7.06,127880700,6.99172
2015-05-19,6.80,7.11,6.79,7.10,102822200,7.03133
2015-05-18,6.75,6.94,6.65,6.83,74548400,6.76395
2015-05-15,6.99,6.99,6.73,6.80,86472700,6.73424
2015-05-14,7.13,7.16,6.90,6.99,99781000,6.9224
2015-05-13,7.20,7.30,7.00,7.12,139722900,7.05114
2015-05-12,7.23,7.35,7.11,7.22,113869000,7.15017
2015-05-11,7.08,7.37,7.00,7.27,133915700,7.19969
2015-05-08,6.62,7.05,6.61,7.02,120323900,6.95211
2015-05-07,6.87,6.91,6.55,6.56,104598100,6.49656
2015-05-06,7.27,7.45,6.80,6.93,110775100,6.86298
2015-05-05,7.90,7.90,7.18,7.33,149717200,7.25911
2015-05-04,7.83,7.94,7.82,7.90,87240000,7.8236
2015-05-01,7.82,7.82,7.82,7.82,000,7.74437
2015-04-30,7.82,7.98,7.74,7.82,98210100,7.74437
2015-04-29,7.75,7.96,7.71,7.82,87966100,7.74437
2015-04-28,8.06,8.07,7.68,7.87,181396400,7.79389
2015-04-27,8.29,8.40,7.96,8.10,155481100,8.02166
2015-04-24,7.94,8.11,7.83,8.04,148290100,7.96224
2015-04-23,8.20,8.20,8.00,8.11,190786100,8.03157
2015-04-22,8.50,8.55,8.17,8.24,262328200,8.16031
2015-04-21,8.12,8.32,7.81,8.18,180892700,8.10089
2015-04-20,7.90,8.46,7.70,8.12,285093000,8.04147
2015-04-17,7.54,8.19,7.50,7.93,268860600,7.85331
2015-04-16,7.40,7.66,7.23,7.55,151321600,7.47698
2015-04-15,7.43,7.79,7.21,7.49,207588300,7.41756
2015-04-14,7.27,7.60,7.16,7.41,183120500,7.33834
2015-04-13,7.06,7.27,7.06,7.26,147716300,7.18979
2015-04-10,6.85,7.09,6.84,7.05,103750000,6.98182
2015-04-09,7.15,7.18,6.76,6.91,146335600,6.84317
2015-04-08,7.30,7.30,7.01,7.14,170670500,7.07095
2015-04-07,7.16,7.35,7.10,7.31,188212700,7.2393
2015-04-06,7.13,7.13,7.13,7.13,000,7.06104
2015-04-03,6.85,7.36,6.85,7.13,253569700,7.06104
2015-04-02,6.65,6.80,6.58,6.74,169170000,6.67482
2015-04-01,6.57,6.64,6.54,6.63,120925800,6.56588
2015-03-31,6.80,6.84,6.52,6.56,168127000,6.49656
2015-03-30,6.40,6.83,6.40,6.73,243124500,6.66491
2015-03-27,6.43,6.46,6.35,6.39,92894900,6.3282
2015-03-26,6.31,6.47,6.22,6.42,135414700,6.35791
2015-03-25,6.38,6.40,6.22,6.32,139388900,6.25888
2015-03-24,6.62,6.64,6.13,6.41,247599300,6.34801
2015-03-23,6.54,6.66,6.53,6.61,179293100,6.54607
2015-03-20,6.60,6.69,6.50,6.57,165264500,6.50646
2015-03-19,6.46,6.77,6.37,6.60,232084400,6.53617
2015-03-18,6.40,6.52,6.31,6.46,178543500,6.39752
2015-03-17,6.23,6.44,6.20,6.39,213717500,6.3282
2015-03-16,6.15,6.25,6.10,6.22,152779200,6.15985
2015-03-13,6.12,6.19,6.01,6.13,135962600,6.07072
2015-03-12,6.07,6.37,6.04,6.10,234179200,6.04101
2015-03-11,5.83,6.24,5.76,6.13,219624600,6.07072
2015-03-10,5.88,5.96,5.82,5.83,135890700,5.77362
2015-03-09,5.70,6.00,5.63,5.89,237793000,5.83304
2015-03-06,5.55,5.90,5.50,5.73,268961400,5.67458
2015-03-05,5.57,5.57,5.43,5.54,98775700,5.48642
2015-03-04,5.62,5.66,5.50,5.58,94512400,5.52603
2015-03-03,5.55,5.77,5.50,5.62,185265300,5.56565
2015-03-02,5.55,5.58,5.49,5.55,98206100,5.49633
2015-02-27,5.54,5.58,5.45,5.51,99645800,5.45671
2015-02-26,5.42,5.58,5.38,5.55,96157100,5.49633
2015-02-25,5.36,5.45,5.32,5.42,60704200,5.36758
2015-02-24,5.34,5.34,5.34,5.34,000,5.28836
2015-02-23,5.34,5.34,5.34,5.34,000,5.28836
2015-02-20,5.34,5.34,5.34,5.34,000,5.28836
2015-02-19,5.34,5.34,5.34,5.34,000,5.28836
2015-02-18,5.34,5.34,5.34,5.34,000,5.28836
2015-02-17,5.30,5.35,5.29,5.34,49353900,5.28836
2015-02-16,5.27,5.32,5.23,5.29,37345300,5.23884
2015-02-13,5.22,5.30,5.20,5.25,46566300,5.19923
2015-02-12,5.17,5.24,5.16,5.19,36498100,5.13981
2015-02-11,5.21,5.23,5.14,5.16,33007600,5.1101
2015-02-10,5.12,5.20,5.08,5.20,34738400,5.14971
2015-02-09,5.06,5.14,5.03,5.12,28900200,5.07048
2015-02-06,5.15,5.19,5.00,5.07,70580000,5.02097
2015-02-05,5.33,5.36,5.19,5.19,72238800,5.13981
2015-02-04,5.34,5.46,5.25,5.32,85444500,5.26855
2015-02-03,5.28,5.35,5.21,5.33,66050800,5.27845
2015-02-02,5.34,5.36,5.24,5.28,70074500,5.22894
2015-01-30,5.55,5.64,5.39,5.40,97509300,5.34778
2015-01-29,5.64,5.74,5.50,5.55,185149100,5.49633
2015-01-28,5.40,5.98,5.36,5.83,331944300,5.77362
2015-01-27,5.36,5.45,5.26,5.44,95085800,5.38739
2015-01-26,5.22,5.36,5.22,5.34,57935700,5.28836
2015-01-23,5.31,5.34,5.23,5.25,45734400,5.19923
2015-01-22,5.21,5.37,5.17,5.34,82513600,5.28836
2015-01-21,5.07,5.23,5.05,5.21,64415000,5.15961
2015-01-20,4.95,5.08,4.95,5.07,51043300,5.02097
2015-01-19,5.20,5.21,4.80,4.93,92408000,4.88232
2015-01-16,5.36,5.36,5.26,5.32,57060700,5.26855
2015-01-15,5.30,5.37,5.26,5.36,49959200,5.30816
2015-01-14,5.21,5.35,5.21,5.32,52156900,5.26855
2015-01-13,5.18,5.25,5.18,5.20,31150400,5.14971
2015-01-12,5.30,5.31,5.12,5.17,56779700,5.12
2015-01-09,5.32,5.47,5.31,5.35,75099400,5.29826
2015-01-08,5.43,5.43,5.25,5.28,77857600,5.22894
2015-01-07,5.50,5.54,5.40,5.45,75618300,5.39729
2015-01-06,5.47,5.59,5.38,5.52,95807100,5.46662
2015-01-05,5.41,5.54,5.35,5.50,111908300,5.44681
2015-01-02,5.46,5.46,5.46,5.46,000,5.4072
2015-01-01,5.46,5.46,5.46,5.46,000,5.4072
2014-12-31,5.50,5.58,5.34,5.46,87800700,5.4072
2014-12-30,5.62,5.69,5.48,5.52,100000700,5.46662
2014-12-29,5.52,5.78,5.33,5.66,203766300,5.60526
2014-12-26,5.41,5.66,5.41,5.50,182435700,5.44681
2014-12-25,5.24,5.30,5.16,5.29,104963700,5.23884
2014-12-24,5.09,5.26,5.09,5.21,99340300,5.15961
2014-12-23,5.07,5.24,4.93,5.08,91347600,5.03087
2014-12-22,5.70,5.70,5.17,5.17,269204400,5.12
2014-12-19,5.70,5.80,5.55,5.74,225403400,5.68449
2014-12-18,5.69,5.94,5.50,5.80,337467300,5.74391
2014-12-17,6.06,6.08,5.68,5.80,269662800,5.74391
2014-12-16,6.13,6.40,6.13,6.18,96554600,6.12023
2014-12-15,5.86,6.43,5.70,6.29,111736100,6.22917
2014-12-12,5.83,6.06,5.70,5.89,111122100,5.83304
2014-12-11,5.38,5.82,5.31,5.80,98781300,5.74391
2014-12-10,5.19,5.39,5.12,5.38,49211800,5.32797
2014-12-09,5.33,5.60,5.19,5.25,92616500,5.19923
2014-12-08,5.20,5.40,5.08,5.35,58292800,5.29826
2014-12-05,5.56,5.56,5.16,5.26,73710800,5.20913
2014-12-04,5.50,5.57,5.44,5.56,74089800,5.50623
2014-12-03,5.39,5.58,5.32,5.54,90409400,5.48642
2014-12-02,5.33,5.43,5.26,5.39,53798000,5.33787
2014-12-01,5.32,5.50,5.13,5.40,71750000,5.34778
2014-11-28,5.45,5.48,5.28,5.36,82534700,5.30816
