Date,Open,High,Low,Close,Volume,Adj Close
2015-12-18,12830.20,12830.20,12830.20,12830.20,000,12830.20
2015-12-17,12825.50,12825.50,12825.50,12825.50,000,12825.50
2015-12-16,12511.00,12511.00,12511.00,12511.00,000,12511.00
2015-12-15,12495.20,12495.20,12495.20,12495.20,000,12495.20
2015-12-14,12400.60,12400.60,12400.60,12400.60,000,12400.60
2015-12-11,12134.00,12134.00,12134.00,12134.00,000,12134.00
2015-12-10,12181.00,12181.00,12181.00,12181.00,000,12181.00
2015-12-09,12179.80,12179.80,12179.80,12179.80,000,12179.80
2015-12-08,12165.00,12165.00,12165.00,12165.00,000,12165.00
2015-12-07,12443.00,12443.00,12443.00,12443.00,000,12443.00
2015-12-04,12329.20,12329.20,12329.20,12329.20,000,12329.20
2015-12-03,12447.40,12447.40,12447.40,12447.40,000,12447.40
2015-12-02,12186.30,12186.30,12186.30,12186.30,000,12186.30
2015-12-01,12081.20,12081.20,12081.20,12081.20,000,12081.20
2015-11-30,12037.90,12037.90,12037.90,12037.90,000,12037.90
2015-11-27,11961.70,11961.70,11961.70,11961.70,000,11961.70
2015-11-26,12767.50,12767.50,12767.50,12767.50,000,12767.50
2015-11-25,12893.20,12893.20,12893.20,12893.20,000,12893.20
2015-11-24,12694.90,12694.90,12694.90,12694.90,000,12694.90
2015-11-20,12702.00,12702.00,12702.00,12702.00,000,12702.00
2015-11-19,12609.80,12609.80,12609.80,12609.80,000,12609.80
2015-11-18,12283.80,12283.80,12283.80,12283.80,000,12283.80
2015-11-17,12511.50,12511.50,12511.50,12511.50,000,12511.50
2015-11-16,12620.40,12620.40,12620.40,12620.40,000,12620.40
2015-11-13,12402.00,12402.00,12402.00,12402.00,000,12402.00
2015-11-12,12635.40,12635.40,12635.40,12635.40,000,12635.40
2015-11-11,12677.50,12677.50,12677.50,12677.50,000,12677.50
2015-11-10,12500.50,12500.50,12500.50,12500.50,000,12500.50
2015-11-09,12453.20,12453.20,12453.20,12453.20,000,12453.20
2015-11-06,12273.40,12273.40,12273.40,12273.40,000,12273.40
2015-11-05,11939.80,11939.80,11939.80,11939.80,000,11939.80
2015-11-04,11884.90,11884.90,11884.90,11884.90,000,11884.90
2015-11-03,11288.10,11288.10,11288.10,11288.10,000,11288.10
2015-11-02,11304.90,11304.90,11304.90,11304.90,000,11304.90
2015-10-30,11546.10,11546.10,11546.10,11546.10,000,11546.10
2015-10-29,11566.70,11566.70,11566.70,11566.70,000,11566.70
2015-10-28,11494.30,11494.30,11494.30,11494.30,000,11494.30
2015-10-27,11758.40,11758.40,11758.40,11758.40,000,11758.40
2015-10-26,11687.80,11687.80,11687.80,11687.80,000,11687.80
2015-10-23,11603.50,11603.50,11603.50,11603.50,000,11603.50
2015-10-22,11305.10,11305.10,11305.10,11305.10,000,11305.10
2015-10-21,10916.00,10916.00,10916.00,10916.00,000,10916.00
2015-10-16,11374.80,11374.80,11374.80,11374.80,000,11374.80
2015-10-15,11229.40,11229.40,11229.40,11229.40,000,11229.40
2015-10-14,10901.50,10901.50,10901.50,10901.50,000,10901.50
2015-10-12,10961.40,10961.40,10961.40,10961.40,000,10961.40
2015-09-30,9988.25,9988.25,9988.25,9988.25,000,9988.25
2015-09-25,9904.76,9904.76,9904.76,9904.76,000,9904.76
2015-09-23,10132.30,10132.30,10132.30,10132.30,000,10132.30
2015-09-21,10176.70,10176.70,10176.70,10176.70,000,10176.70
2015-09-18,9850.77,9850.77,9850.77,9850.77,000,9850.77
2015-09-17,9739.89,9739.89,9739.89,9739.89,000,9739.89
2015-09-16,9890.43,9890.43,9890.43,9890.43,000,9890.43
2015-09-15,9290.81,9290.81,9290.81,9290.81,000,9290.81
2015-09-14,9778.23,9778.23,9778.23,9778.23,000,9778.23
2015-09-11,10463.70,10463.70,10463.70,10463.70,000,10463.70
2015-09-10,10424.70,10424.70,10424.70,10424.70,000,10424.70
2015-09-09,10620.10,10620.10,10620.10,10620.10,000,10620.10
2015-09-08,10320.20,10320.20,10320.20,10320.20,000,10320.20
2015-09-07,9991.76,9991.76,9991.76,9991.76,000,9991.76
2015-09-02,10054.80,10054.80,10054.80,10054.80,000,10054.80
2015-09-01,10162.50,10162.50,10162.50,10162.50,000,10162.50
2015-08-31,10549.20,10549.20,10549.20,10549.20,000,10549.20
2015-08-28,10800.00,10800.00,10800.00,10800.00,000,10800.00
2015-08-27,10254.30,10254.30,10254.30,10254.30,000,10254.30
2015-08-26,9899.72,9899.72,9899.72,9899.72,000,9899.72
2015-08-25,10197.90,10197.90,10197.90,10197.90,000,10197.90
2015-08-24,10970.30,10970.30,10970.30,10970.30,000,10970.30
2015-08-21,11902.00,11902.00,11902.00,11902.00,000,11902.00
2015-08-20,12584.60,12584.60,12584.60,12584.60,000,12584.60
2015-08-19,12960.70,12960.70,12960.70,12960.70,000,12960.70
2015-08-18,12683.90,12683.90,12683.90,12683.90,000,12683.90
2015-08-17,13573.90,13573.90,13573.90,13573.90,000,13573.90
2015-08-14,13445.90,13445.90,13445.90,13445.90,000,13445.90
2015-08-13,13395.20,13395.20,13395.20,13395.20,000,13395.20
2015-08-12,13117.10,13117.10,13117.10,13117.10,000,13117.10
2015-08-11,13323.10,13323.10,13323.10,13323.10,000,13323.10
2015-08-10,13303.00,13303.00,13303.00,13303.00,000,13303.00
2015-08-07,12753.00,12753.00,12753.00,12753.00,000,12753.00
2015-08-06,12421.80,12421.80,12421.80,12421.80,000,12421.80
2015-08-05,12524.70,12524.70,12524.70,12524.70,000,12524.70
2015-08-04,12711.60,12711.60,12711.60,12711.60,000,12711.60
2015-08-03,12161.60,12161.60,12161.60,12161.60,000,12161.60
2015-07-31,12374.30,12374.30,12374.30,12374.30,000,12374.30
2015-07-30,12395.90,12395.90,12395.90,12395.90,000,12395.90
2015-07-29,12823.10,12823.10,12823.10,12823.10,000,12823.10
2015-07-28,12316.80,12316.80,12316.80,12316.80,000,12316.80
2015-07-27,12493.00,12493.00,12493.00,12493.00,000,12493.00
2015-07-24,13518.50,13518.50,13518.50,13518.50,000,13518.50
2015-07-23,13754.50,13754.50,13754.50,13754.50,000,13754.50
2015-07-22,13416.50,13416.50,13416.50,13416.50,000,13416.50
2015-07-21,13315.60,13315.60,13315.60,13315.60,000,13315.60
2015-07-20,13202.40,13202.40,13202.40,13202.40,000,13202.40
2015-07-17,13005.00,13005.00,13005.00,13005.00,000,13005.00
2015-07-16,12357.60,12357.60,12357.60,12357.60,000,12357.60
2015-07-15,12132.40,12132.40,12132.40,12132.40,000,12132.40
2015-07-14,12728.50,12728.50,12728.50,12728.50,000,12728.50
2015-07-13,12614.20,12614.20,12614.20,12614.20,000,12614.20
2015-07-10,12038.10,12038.10,12038.10,12038.10,000,12038.10
2015-07-09,11510.30,11510.30,11510.30,11510.30,000,11510.30
2015-07-08,11040.90,11040.90,11040.90,11040.90,000,11040.90
2015-07-07,11375.60,11375.60,11375.60,11375.60,000,11375.60
2015-07-06,12075.80,12075.80,12075.80,12075.80,000,12075.80
2015-07-03,12246.10,12246.10,12246.10,12246.10,000,12246.10
2015-07-02,12924.20,12924.20,12924.20,12924.20,000,12924.20
2015-07-01,13650.80,13650.80,13650.80,13650.80,000,13650.80
2015-06-30,14338.00,14338.00,14338.00,14338.00,000,14338.00
2015-06-29,13566.30,13566.30,13566.30,13566.30,000,13566.30
2015-06-26,14398.80,14398.80,14398.80,14398.80,000,14398.80
2015-06-25,15692.40,15692.40,15692.40,15692.40,000,15692.40
2015-06-24,16312.30,16312.30,16312.30,16312.30,000,16312.30
2015-06-23,16046.00,16046.00,16046.00,16046.00,000,16046.00
2015-06-19,15725.50,15725.50,15725.50,15725.50,000,15725.50
2015-06-18,16734.80,16734.80,16734.80,16734.80,000,16734.80
2015-06-17,17405.60,17405.60,17405.60,17405.60,000,17405.60
2015-06-16,17075.90,17075.90,17075.90,17075.90,000,17075.90
2015-06-15,17702.60,17702.60,17702.60,17702.60,000,17702.60
2015-06-12,18098.30,18098.30,18098.30,18098.30,000,18098.30
2015-06-11,17889.70,17889.70,17889.70,17889.70,000,17889.70
2015-06-10,17677.60,17677.60,17677.60,17677.60,000,17677.60
2015-06-09,17399.00,17399.00,17399.00,17399.00,000,17399.00
2015-06-08,17452.30,17452.30,17452.30,17452.30,000,17452.30
2015-06-05,17649.10,17649.10,17649.10,17649.10,000,17649.10
2015-06-04,17501.10,17501.10,17501.10,17501.10,000,17501.10
2015-06-03,17538.50,17538.50,17538.50,17538.50,000,17538.50
