Date,Open,High,Low,Close,Volume,Adj Close
2015-12-30,5.80,5.81,5.73,5.79,50416000,5.79
2015-12-29,5.77,5.82,5.75,5.80,34744500,5.80
2015-12-28,5.92,5.93,5.77,5.78,65670600,5.78
2015-12-24,5.89,5.93,5.83,5.90,70227200,5.90
2015-12-23,5.88,5.97,5.84,5.90,103893200,5.90
2015-12-22,5.90,5.93,5.84,5.88,63728900,5.88
2015-12-21,5.78,5.95,5.78,5.92,99069600,5.92
2015-12-18,5.76,5.97,5.75,5.82,90835400,5.82
2015-12-17,5.75,5.81,5.74,5.78,54695700,5.78
2015-12-16,5.75,5.78,5.72,5.74,33507300,5.74
2015-12-15,5.81,5.86,5.72,5.74,48158300,5.74
2015-12-14,5.66,5.84,5.64,5.82,75847600,5.82
2015-12-11,5.77,5.78,5.66,5.71,58668600,5.71
2015-12-10,5.79,5.93,5.77,5.78,81845500,5.78
2015-12-09,5.75,5.85,5.74,5.81,58543900,5.81
2015-12-08,5.83,5.84,5.73,5.75,62489900,5.75
2015-12-07,5.93,5.95,5.81,5.85,77932700,5.85
2015-12-04,6.08,6.09,5.89,5.91,144293100,5.91
2015-12-03,5.89,6.26,5.88,6.16,302013100,6.16
2015-12-02,5.68,6.03,5.64,5.96,249873600,5.96
2015-12-01,5.77,5.78,5.62,5.68,74536200,5.68
2015-11-30,5.67,5.81,5.67,5.77,111212400,5.77
2015-11-27,5.77,5.83,5.59,5.69,93814200,5.69
2015-11-26,5.80,5.84,5.78,5.79,59354200,5.79
2015-11-25,5.70,5.81,5.70,5.78,68414200,5.78
2015-11-24,5.69,5.73,5.67,5.72,60561900,5.72
2015-11-23,5.77,5.77,5.69,5.71,49871400,5.71
2015-11-20,5.75,5.78,5.71,5.75,55411000,5.75
2015-11-19,5.72,5.76,5.70,5.75,39777300,5.75
2015-11-18,5.71,5.81,5.68,5.73,77779900,5.73
2015-11-17,5.71,5.84,5.71,5.73,84252100,5.73
2015-11-16,5.63,5.74,5.62,5.71,49771600,5.71
2015-11-13,5.73,5.80,5.69,5.70,58176400,5.70
2015-11-12,5.87,5.88,5.73,5.76,81573400,5.76
2015-11-11,5.86,5.93,5.78,5.86,89437400,5.86
2015-11-10,5.89,5.99,5.82,5.91,126156100,5.91
2015-11-09,5.78,6.15,5.78,5.96,251522100,5.96
2015-11-06,5.60,5.72,5.57,5.70,119280000,5.70
2015-11-05,5.49,5.76,5.48,5.65,206448500,5.65
2015-11-04,5.35,5.55,5.33,5.51,94433400,5.51
2015-11-03,5.43,5.44,5.33,5.34,57688100,5.34
2015-11-02,5.46,5.49,5.42,5.43,36878700,5.43
2015-10-30,5.50,5.51,5.47,5.48,46131400,5.48
2015-10-29,5.48,5.51,5.47,5.48,33490300,5.48
2015-10-28,5.50,5.54,5.46,5.49,60460600,5.49
2015-10-27,5.57,5.57,5.48,5.52,54236400,5.52
2015-10-26,5.58,5.64,5.55,5.58,89294500,5.58
2015-10-23,5.50,5.57,5.50,5.56,77674600,5.56
2015-10-22,5.51,5.63,5.46,5.54,112830100,5.54
2015-10-21,5.48,5.62,5.45,5.50,127652300,5.50
2015-10-20,5.47,5.48,5.41,5.48,55473900,5.48
2015-10-19,5.48,5.52,5.44,5.47,54929100,5.47
2015-10-16,5.45,5.51,5.43,5.46,72450800,5.46
2015-10-15,5.39,5.43,5.34,5.43,42216000,5.43
2015-10-14,5.38,5.42,5.36,5.37,36066600,5.37
2015-10-13,5.44,5.45,5.38,5.42,43470600,5.42
2015-10-12,5.33,5.50,5.32,5.44,89292800,5.44
2015-10-09,5.30,5.33,5.28,5.32,35595900,5.32
2015-10-08,5.30,5.33,5.26,5.28,60725400,5.28
2015-10-07,5.18,5.18,5.18,5.18,000,5.18
2015-10-06,5.18,5.18,5.18,5.18,000,5.18
2015-10-05,5.18,5.18,5.18,5.18,000,5.18
2015-10-02,5.18,5.18,5.18,5.18,000,5.18
2015-10-01,5.18,5.18,5.18,5.18,000,5.18
2015-09-30,5.19,5.23,5.16,5.18,37061000,5.18
2015-09-29,5.22,5.23,5.15,5.17,49004000,5.17
2015-09-28,5.29,5.29,5.29,5.29,000,5.29
2015-09-25,5.25,5.31,5.23,5.29,39004800,5.29
2015-09-24,5.32,5.33,5.24,5.27,40476300,5.27
2015-09-23,5.37,5.40,5.28,5.29,55494000,5.29
2015-09-22,5.37,5.46,5.36,5.42,48858000,5.42
